reviewId,userName,userImage,content,score,thumbsUp,appVersion,at,replyContent,repliedAt,scam_related
e6c76e23-6b6d-4bbe-b2d9-7d03245e432a,Foysal Ahmed,https://play-lh.googleusercontent.com/a/ACg8ocIdHfznEx8VLYwqvnIJ6liTqhWTIAsiTwhezvlYH2FCdd3Pew=mo,good,5,0,6.6.11,2025-01-24 21:14:11,,,False
95c36747-4217-4f23-b133-d93ec24a42f9,David Brown,https://play-lh.googleusercontent.com/a-/ALV-UjX34Vza6gk1Y96DTUsnIQDFwI7yTRs2r2Yb9ULmZRkeoF9zQjk9,Can't progress as UK phone numbers are not allowed for verification.uninstalled..leaving replies too reviews In here in Russian sucks too,1,1,6.6.11,2025-01-19 14:10:11,"Жаль, что вы разочарованы. Шаг с верификацией можно пропустить. Напишите нам на help@corpteamo.com мы поможем завершить регистрацию!",2025-01-20 18:45:48,False
0afafbdf-40fe-4186-b648-a1bf7a04514f,Emeke Irabor,https://play-lh.googleusercontent.com/a/ACg8ocLh0gMRmgZJaimFlmfT7nHf55PQ-tVEO48WFNrkUuFGWX2WFA=mo,but stop asking for subscribe,5,4,6.6.11,2025-01-17 19:20:50,"Спасибо за высокую оценку! Напишите нам, пожалуйста, на help@corpteamo.com мы поможем во всем разобраться!",2025-01-20 18:56:42,False
7306295e-a89f-4f17-8f97-7f011d2b281f,Lee Perry,https://play-lh.googleusercontent.com/a-/ALV-UjWf6YShYGoCDh5SRekSpH03E2eIfq1U2yfPFoEQyZwPGI_p4OE,good and sweet app ❤️,5,2,6.6.11,2025-01-15 08:41:14,Спасибо за тёплые слова ☺️,2025-01-15 11:31:55,False
5183cc02-d111-4f23-8f50-46a95d37b07a,Andry Zinoviev,https://play-lh.googleusercontent.com/a-/ALV-UjXKgn9RV8gUD65LmNdedU3n4KRJ0gJ_59mHa2Yupt_vxKuVOPcT0A,Нет поддержки тематических значков (material you),3,0,6.6.7,2025-01-13 06:50:45,"Напишите нам на help@corpteamo.com ваши пожелания и предложения, мы обязательно их рассмотрим!👍",2025-01-13 10:10:11,False
096b63f7-b1df-4cfe-aa19-1247cc4e3418,Dmitry Lashmanov,https://play-lh.googleusercontent.com/a-/ALV-UjUja5X-b-4QlqCmJwxA2lWVfRrNg-6e2yvacCbwe5BX4Hn95Os,Не могу авторизоваться,1,0,6.6.7,2025-01-11 14:27:57,"Мы не хотели вас огорчать. Помогите нам разобраться в том, что именно пошло не так, по почте help@corpteamo.com Мы вместе решим ваш вопрос!",2025-01-13 11:35:05,False
09e118fb-7cdd-4c89-8468-01c369622b80,Tenele Nzima,https://play-lh.googleusercontent.com/a/ACg8ocKuV1tUMx7c_cylzgorFZtbgnhRTonKsjqsNOLxaGXxc2nq-6k=mo,Hy teamo I'm very disappointed can't verify my phone number coz my countries code isn't there....what do I do now help,1,1,6.6.7,2025-01-07 06:37:15,"Мы не хотели вас огорчать. Вы можете пропустить шаг верификации, нажав соответствующую кнопку. Если будут затруднения, пишите нам на help@corpteamo.com",2025-01-10 12:51:13,False
578a77b3-9667-4984-a80c-e2799e4ff529,Mohammed Miftaw Abdul Mutalib,https://play-lh.googleusercontent.com/a-/ALV-UjVSspAI0Be3aUK4Jc43yn8rrxGUeWQnuUj19b47W4HBNrPJP98,Great app,5,0,6.6.7,2025-01-05 01:48:40,Спасибо за тёплые слова ☺️,2025-01-10 12:53:08,False
a58c7453-5f4f-49f9-aa84-226fd9a62cee,Dominus,https://play-lh.googleusercontent.com/a-/ALV-UjXcDP_LW2DomdbRKFArQNas_HAE7xpV1VfPPlp6i2m8rzPkQFJX,Phone verification doesn't work.,1,1,6.6.7,2025-01-02 23:00:51,"Шаг с верификацией профиля можно пропустить. Если есть затруднения, напишите нам на help@corpteamo.com поможем с регистрацией!",2025-01-10 13:31:29,False
876a7041-4400-46d3-b808-b530df936618,Ayomide Money,https://play-lh.googleusercontent.com/a-/ALV-UjUh6TImTcVrMQYUuSphG_DaodkJ_2aRMFmDXRmYcOvkl-wWHys,Interested,5,0,6.6.2,2024-12-27 15:34:13,Спасибо! Вы всегда можете написать на help@corpteamo.com мы с радостью ответим на ваши вопросы!,2024-12-28 11:11:49,False
